market,ad_network,os,slot,format,page,revenue,placement_name
US,smaato,android,top,display,article,32.93,News Break-AN-Banner-320x50-article-top-2
US,smaato,android,top,display,article,22.03,News Break-AN-Banner-320x50-article-top-4
US,smaato,android,top,display,article,559.36,News Break-AN-Banner-320x50-article-top-am-2
US,smaato,android,top,display,article,552.77,News Break-AN-Banner-320x50-article-top-am-4
US,smaato,android,top,display,article,4216.81,News Break-AN-Banner-320x50-article-top-exp-2
US,smaato,android,top,display,article,14683.08,News Break-AN-Banner-320x50-article-top-exp-4
US,smaato,ios,top,display,article,19.7,News Break-IOS-Banner-320x50-article-top-1.5
US,smaato,ios,top,display,article,54.95,News Break-IOS-Banner-320x50-article-top-1.5-newapi
US,smaato,ios,top,display,article,2113.11,News Break-IOS-Banner-320x50-article-top-4
US,smaato,ios,top,display,article,0.04,News Break-IOS-Banner-320x50-article-top-am-1.5
US,smaato,ios,related,native,article,162.92,News Break-IOS-Native-1200x627-Article-related-high
US,smaato,ios,large,native,foryou,273.75,News Break-IOS-Native-1200x627-foryou
US,smaato,ios,large,native,foryou,0.03,News Break-IOS-Native-1200x627-foryou-low
US,smaato,android,related,native,article,718.4,News break-AN-Native-1200x627-Article-related-high
US,smaato,android,related,native,article,314.94,News break-AN-Native-1200x627-Article-related-high-exp
US,smaato,android,related,native,article,225.05,News break-AN-Native-1200x627-Article-related-low
US,smaato,android,related,native,article,101.26,News break-AN-Native-1200x627-Article-related-low-exp
US,smaato,android,large,native,foryou,34.05,News break-AN-Native-1200x627-foryou-large
US,smaato,android,large,native,foryou,1327.13,News break-AN-Native-1200x627-foryou-large-bigcard
US,smaato,android,large,native,foryou,7409.41,News break-AN-Native-1200x627-foryou-large-exp
US,smaato,android,small,native,foryou,21.61,News break-AN-Native-1200x627-foryou-small
US,gam,web,top,display,article,0.437027,am-amp-article-top
US,gam,web,top,display,article,0.279502,am-amp-article-top-320
US,gam,android,related,native,article,35.928066,am-android-article-3-high
US,gam,android,related,native,article,65.598993,am-android-article-3-low
US,gam,android,related,native,article,28.992811,am-android-article-3-medium
US,gam,android,fullscreen,interstitial,article,35.564232,am-android-article-back-high
US,gam,android,inside,display,article,102303.011278,am-android-article-inside-300x250-high
US,gam,android,inside,display,article,87409.816149,am-android-article-inside-300x250-low
US,gam,android,inside,display,article,72232.078145,am-android-article-inside-300x250-medium
US,gam,android,inside,display,article,3604.7275,am-android-article-inside-display-ds-high
US,gam,android,inside,display,article,1036.827674,am-android-article-inside-display-dslt-ctrl-high
US,gam,android,inside,display,article,1051.253609,am-android-article-inside-display-dslt-ctrl-low
US,gam,android,inside,display,article,505.339498,am-android-article-inside-display-dslt-ctrl-medium
