advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
1-800-Flowers.com,21839579524 » am-android-foryou-large-ib-high,1.38%,275.84,"21,467",12.85
1-800-Flowers.com,21839579524 » am-android-foryou-large-ib-low,0.69%,104.46,"33,531",3.12
1-800-Flowers.com,21839579524 » am-android-foryou-large-ib-medium,0.87%,177.73,"33,979",5.23
1000Bulbs.com,21839579524 » am-android-foryou-large-ib-high,0.98%,64.00,"5,285",12.11
1000Bulbs.com,21839579524 » am-android-foryou-large-ib-low,0.41%,20.89,"6,900",3.03
1000Bulbs.com,21839579524 » am-android-foryou-large-ib-medium,0.48%,34.42,"6,837",5.03
1001 Optical,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,5,3.89
17 Media,21839579524 » am-android-foryou-large-ib-high,1.44%,1.70,139,12.21
17 Media,21839579524 » am-android-foryou-large-ib-low,0.53%,0.58,189,3.05
17 Media,21839579524 » am-android-foryou-large-ib-medium,0.97%,1.05,206,5.11
1A Auto,21839579524 » am-android-foryou-large-ib-high,0.00%,1.12,93,12.05
1A Auto,21839579524 » am-android-foryou-large-ib-low,0.45%,0.67,222,3.02
1A Auto,21839579524 » am-android-foryou-large-ib-medium,0.53%,0.94,187,5.03
1C Company,21839579524 » am-android-foryou-large-ib-high,0.00%,0.35,29,12.15
1C Company,21839579524 » am-android-foryou-large-ib-low,2.04%,0.44,147,3.02
1C Company,21839579524 » am-android-foryou-large-ib-medium,1.37%,0.73,146,5.03
1st In Coffee,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
1st In Coffee,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
1st In Coffee,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
1stdibs.com,21839579524 » am-android-foryou-large-ib-high,14.29%,0.23,14,16.35
1stdibs.com,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,40,3.29
1stdibs.com,21839579524 » am-android-foryou-large-ib-medium,5.00%,0.14,20,6.84
21st Century Fox,21839579524 » am-android-foryou-large-ib-high,2.08%,58.96,"4,807",12.27
21st Century Fox,21839579524 » am-android-foryou-large-ib-low,0.60%,33.20,"10,867",3.06
21st Century Fox,21839579524 » am-android-foryou-large-ib-medium,1.04%,46.07,"9,074",5.08
23andMe,21839579524 » am-android-foryou-large-ib-low,0.00%,0.08,25,3.01
23andMe,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.08,15,5.01
247 Home Furnishings,21839579524 » am-android-foryou-large-ib-high,0.00%,0.06,5,12.01
247 Home Furnishings,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
247 Home Furnishings,21839579524 » am-android-foryou-large-ib-medium,12.50%,0.04,8,5.01
288 Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
288 Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.36,118,3.02
288 Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.16,31,5.01
2U,21839579524 » am-android-foryou-large-ib-high,7.69%,0.16,13,12.01
2U,21839579524 » am-android-foryou-large-ib-low,0.00%,0.08,28,3.01
2U,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.08,16,5.01
2XU,21839579524 » am-android-foryou-large-ib-high,3.23%,0.37,31,12.01
2XU,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,20,3.29
2XU,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.10,19,5.04
3 Day Blinds,21839579524 » am-android-foryou-large-ib-high,2.08%,2.31,192,12.06
3 Day Blinds,21839579524 » am-android-foryou-large-ib-low,0.15%,2.08,684,3.04
3 Day Blinds,21839579524 » am-android-foryou-large-ib-medium,0.29%,1.72,342,5.02
310 Nutrition,21839579524 » am-android-foryou-large-ib-high,0.63%,11.70,953,12.28
310 Nutrition,21839579524 » am-android-foryou-large-ib-low,0.13%,2.34,770,3.05
310 Nutrition,21839579524 » am-android-foryou-large-ib-medium,0.27%,5.55,"1,098",5.06
3CX,21839579524 » am-android-foryou-large-ib-high,0.19%,95.39,"7,894",12.08
3CX,21839579524 » am-android-foryou-large-ib-low,0.00%,5.15,"1,664",3.09
3CX,21839579524 » am-android-foryou-large-ib-medium,0.11%,23.69,"4,686",5.05
3G Capital,21839579524 » am-android-foryou-large-ib-high,2.78%,3.68,288,12.78
3G Capital,21839579524 » am-android-foryou-large-ib-low,0.76%,0.93,262,3.54
3G Capital,21839579524 » am-android-foryou-large-ib-medium,0.70%,1.63,284,5.74
3M,21839579524 » am-android-foryou-large-ib-high,0.00%,0.58,38,15.35
3M,21839579524 » am-android-foryou-large-ib-low,0.00%,0.38,39,9.67
3M,21839579524 » am-android-foryou-large-ib-medium,1.59%,0.78,63,12.35
4-33 Creative Lab,21839579524 » am-android-foryou-large-ib-high,0.00%,0.95,78,12.22
4-33 Creative Lab,21839579524 » am-android-foryou-large-ib-low,0.00%,1.11,356,3.11
4-33 Creative Lab,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.03,199,5.16
4WD Supacentre,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
4finance Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
4home,21839579524 » am-android-foryou-large-ib-high,2.36%,3.70,212,17.45
4home,21839579524 » am-android-foryou-large-ib-low,0.51%,1.33,392,3.39
4home,21839579524 » am-android-foryou-large-ib-medium,1.32%,3.08,529,5.81
4seating.com,21839579524 » am-android-foryou-large-ib-high,1.68%,72.84,"5,961",12.22
4seating.com,21839579524 » am-android-foryou-large-ib-low,0.66%,12.87,"4,232",3.04
4seating.com,21839579524 » am-android-foryou-large-ib-medium,0.76%,28.05,"5,550",5.05
5.10.15,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
66girls,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,2,22.15
66girls,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.00
66girls,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.00
6DollarShirts.com,21839579524 » am-android-foryou-large-ib-high,1.27%,8.55,708,12.07
6DollarShirts.com,21839579524 » am-android-foryou-large-ib-low,0.63%,6.73,"2,214",3.04
6DollarShirts.com,21839579524 » am-android-foryou-large-ib-medium,0.31%,8.27,"1,637",5.05
84 Lumber,21839579524 » am-android-foryou-large-ib-high,0.98%,7.40,615,12.03
84 Lumber,21839579524 » am-android-foryou-large-ib-low,0.61%,12.33,"4,075",3.03
84 Lumber,21839579524 » am-android-foryou-large-ib-medium,1.00%,11.68,"2,311",5.05
A&W Restaurants,21839579524 » am-android-foryou-large-ib-high,1.39%,2.61,216,12.07
A&W Restaurants,21839579524 » am-android-foryou-large-ib-low,0.00%,0.55,182,3.01
A&W Restaurants,21839579524 » am-android-foryou-large-ib-medium,0.28%,1.76,352,5.01
A. JAFFE,21839579524 » am-android-foryou-large-ib-high,1.34%,9.91,819,12.11
A. JAFFE,21839579524 » am-android-foryou-large-ib-low,0.81%,0.78,247,3.14
A. JAFFE,21839579524 » am-android-foryou-large-ib-medium,0.74%,2.04,403,5.07
A.M. Marketplaces,21839579524 » am-android-foryou-large-ib-high,0.00%,0.14,11,13.06
A.M. Marketplaces,21839579524 » am-android-foryou-large-ib-low,1.96%,0.16,51,3.04
A.M. Marketplaces,21839579524 » am-android-foryou-large-ib-medium,2.63%,0.19,38,5.03
A24,21839579524 » am-android-foryou-large-ib-high,0.00%,0.82,67,12.30
A24,21839579524 » am-android-foryou-large-ib-low,1.32%,0.23,76,3.01
A24,21839579524 » am-android-foryou-large-ib-medium,1.25%,0.41,80,5.11
AA Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
AAA,21839579524 » am-android-foryou-large-ib-high,0.53%,84.94,"5,879",14.45
AAA,21839579524 » am-android-foryou-large-ib-low,0.39%,16.47,"4,578",3.60
AAA,21839579524 » am-android-foryou-large-ib-medium,0.69%,28.99,"4,651",6.23
AAPC,21839579524 » am-android-foryou-large-ib-high,2.38%,7.92,631,12.56
AAPC,21839579524 » am-android-foryou-large-ib-low,1.04%,0.58,192,3.03
AAPC,21839579524 » am-android-foryou-large-ib-medium,0.74%,1.35,269,5.01
AARP,21839579524 » am-android-foryou-large-ib-high,0.76%,1.64,132,12.43
AARP,21839579524 » am-android-foryou-large-ib-low,0.39%,3.08,"1,016",3.03
AARP,21839579524 » am-android-foryou-large-ib-medium,0.15%,3.37,668,5.04
ABB Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
ABC Mart,21839579524 » am-android-foryou-large-ib-high,2.40%,11.71,957,12.24
ABC Mart,21839579524 » am-android-foryou-large-ib-low,0.67%,6.81,"2,241",3.04
ABC Mart,21839579524 » am-android-foryou-large-ib-medium,1.18%,8.96,"1,774",5.05
ABRT Venture Fund,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,6,3.01
ABRT Venture Fund,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,8,5.01
ACCO Brands,21839579524 » am-android-foryou-large-ib-high,2.43%,4.49,370,12.14
