delivered_impression,timestamp
1,1648856472
2,1648856494
2,1648856516
2,1648856538
2,1648856560
2,1648856583
3,1648856605
4,1648856627
5,1648856649
6,1648856671
6,1648856693
6,1648856715
7,1648856737
8,1648856759
9,1648856781
9,1648856803
9,1648856825
10,1648856848
11,1648856870
11,1648856892
11,1648856914
12,1648856936
13,1648856958
13,1648856980
13,1648857002
14,1648857024
15,1648857046
16,1648857068
16,1648857090
16,1648857113
17,1648857135
18,1648857157
18,1648857179
18,1648857201
19,1648857223
20,1648857245
21,1648857267
21,1648857289
21,1648857311
22,1648857333
23,1648857356
23,1648857378
23,1648857400
24,1648857422
25,1648857444
25,1648857466
25,1648857488
26,1648857510
27,1648857532
28,1648857554
28,1648857576
28,1648857598
29,1648857621
30,1648857643
31,1648857665
31,1648857687
31,1648857709
31,1648857731
32,1648857753
33,1648857775
34,1648857797
34,1648857819
34,1648857841
35,1648857863
36,1648857886
36,1648857908
36,1648857930
37,1648857952
38,1648857974
39,1648857996
39,1648858018
39,1648858040
40,1648858062
41,1648858084
41,1648858106
41,1648858129
42,1648858151
43,1648858173
44,1648858195
44,1648858217
44,1648858239
45,1648858261
46,1648858283
46,1648858305
46,1648858327
47,1648858349
48,1648858371
48,1648858394
49,1648858416
49,1648858438
50,1648858460
51,1648858482
51,1648858504
51,1648858526
52,1648858548
53,1648858570
53,1648858592
53,1648858614
54,1648858637
55,1648858659
56,1648858681
56,1648858703
56,1648858725
57,1648858747
58,1648858769
58,1648858791
58,1648858813
59,1648858835
60,1648858857
60,1648858879
61,1648858902
62,1648858924
62,1648858946
62,1648858968
63,1648858990
64,1648859012
64,1648859034
64,1648859056
65,1648859078
66,1648859100
66,1648859122
67,1648859144
68,1648859167
68,1648859189
68,1648859211
69,1648859233
70,1648859255
70,1648859277
70,1648859299
71,1648859321
72,1648859343
73,1648859365
73,1648859387
73,1648859410
73,1648859432
74,1648859454
75,1648859476
76,1648859498
77,1648859520
77,1648859542
77,1648859564
77,1648859586
78,1648859608
79,1648859630
80,1648859652
80,1648859675
80,1648859697
81,1648859719
82,1648859741
83,1648859763
83,1648859785
83,1648859807
83,1648859829
84,1648859851
85,1648859873
86,1648859895
86,1648859917
86,1648859940
87,1648859962
88,1648859984
89,1648860006
89,1648860028
89,1648860050
89,1648860085
90,1648860120
91,1648860155
92,1648860190
93,1648860225
94,1648860260
95,1648860295
96,1648860330
97,1648860365
98,1648860400
99,1648860434
100,1648860469
101,1648860504
102,1648860539
103,1648860574
104,1648860609
105,1648860644
105,1648860679
106,1648860714
107,1648860749
108,1648860784
108,1648860819
109,1648860854
110,1648860889
111,1648860924
112,1648860959
113,1648860994
114,1648861029
114,1648861064
115,1648861099
116,1648861133
117,1648861168
118,1648861203
119,1648861238
120,1648861273
120,1648861308
121,1648861343
122,1648861378
123,1648861413
124,1648861448
125,1648861483
126,1648861518
127,1648861553
127,1648861588
128,1648861623
129,1648861658
130,1648861693
131,1648861728
132,1648861763
133,1648861798
134,1648861833
134,1648861867
135,1648861902
136,1648861937
137,1648861972
138,1648862007
139,1648862042
140,1648862077
