delivered_impression,datetime
1,2022-04-09T00:12:31Z
2,2022-04-09T00:12:52Z
2,2022-04-09T00:13:13Z
2,2022-04-09T00:13:34Z
2,2022-04-09T00:13:55Z
2,2022-04-09T00:14:16Z
3,2022-04-09T00:14:37Z
4,2022-04-09T00:14:58Z
4,2022-04-09T00:15:19Z
5,2022-04-09T00:15:41Z
6,2022-04-09T00:16:02Z
6,2022-04-09T00:16:23Z
6,2022-04-09T00:16:44Z
7,2022-04-09T00:17:05Z
8,2022-04-09T00:17:26Z
9,2022-04-09T00:17:47Z
9,2022-04-09T00:18:08Z
9,2022-04-09T00:18:29Z
10,2022-04-09T00:18:50Z
11,2022-04-09T00:19:11Z
11,2022-04-09T00:19:32Z
11,2022-04-09T00:19:53Z
12,2022-04-09T00:20:14Z
13,2022-04-09T00:20:35Z
13,2022-04-09T00:20:56Z
13,2022-04-09T00:21:17Z
14,2022-04-09T00:21:38Z
15,2022-04-09T00:21:59Z
15,2022-04-09T00:22:21Z
15,2022-04-09T00:22:42Z
16,2022-04-09T00:23:03Z
17,2022-04-09T00:23:24Z
18,2022-04-09T00:23:45Z
18,2022-04-09T00:24:06Z
18,2022-04-09T00:24:27Z
19,2022-04-09T00:24:48Z
19,2022-04-09T00:25:09Z
20,2022-04-09T00:25:30Z
21,2022-04-09T00:25:51Z
21,2022-04-09T00:26:12Z
21,2022-04-09T00:26:33Z
21,2022-04-09T00:26:54Z
22,2022-04-09T00:27:15Z
23,2022-04-09T00:27:36Z
24,2022-04-09T00:27:57Z
24,2022-04-09T00:28:18Z
25,2022-04-09T00:28:39Z
25,2022-04-09T00:29:01Z
25,2022-04-09T00:29:22Z
26,2022-04-09T00:29:43Z
27,2022-04-09T00:30:04Z
28,2022-04-09T00:30:25Z
28,2022-04-09T00:30:46Z
28,2022-04-09T00:31:07Z
28,2022-04-09T00:31:28Z
29,2022-04-09T00:31:49Z
30,2022-04-09T00:32:10Z
31,2022-04-09T00:32:31Z
31,2022-04-09T00:32:52Z
31,2022-04-09T00:33:13Z
31,2022-04-09T00:33:34Z
32,2022-04-09T00:33:55Z
33,2022-04-09T00:34:16Z
34,2022-04-09T00:34:37Z
34,2022-04-09T00:34:58Z
34,2022-04-09T00:35:19Z
35,2022-04-09T00:35:41Z
36,2022-04-09T00:36:02Z
36,2022-04-09T00:36:23Z
36,2022-04-09T00:36:44Z
37,2022-04-09T00:37:05Z
38,2022-04-09T00:37:26Z
39,2022-04-09T00:37:47Z
39,2022-04-09T00:38:08Z
39,2022-04-09T00:38:29Z
39,2022-04-09T00:38:50Z
40,2022-04-09T00:39:11Z
41,2022-04-09T00:39:32Z
41,2022-04-09T00:39:53Z
42,2022-04-09T00:40:14Z
42,2022-04-09T00:40:35Z
43,2022-04-09T00:40:56Z
44,2022-04-09T00:41:17Z
44,2022-04-09T00:41:38Z
44,2022-04-09T00:41:59Z
44,2022-04-09T00:42:21Z
45,2022-04-09T00:42:42Z
46,2022-04-09T00:43:03Z
47,2022-04-09T00:43:24Z
47,2022-04-09T00:43:45Z
47,2022-04-09T00:44:06Z
48,2022-04-09T00:44:27Z
49,2022-04-09T00:44:48Z
50,2022-04-09T00:45:09Z
50,2022-04-09T00:45:30Z
50,2022-04-09T00:45:51Z
50,2022-04-09T00:46:12Z
51,2022-04-09T00:46:33Z
52,2022-04-09T00:46:54Z
52,2022-04-09T00:47:15Z
52,2022-04-09T00:47:36Z
53,2022-04-09T00:47:57Z
54,2022-04-09T00:48:18Z
55,2022-04-09T00:48:39Z
55,2022-04-09T00:49:01Z
55,2022-04-09T00:49:22Z
56,2022-04-09T00:49:43Z
57,2022-04-09T00:50:04Z
57,2022-04-09T00:50:25Z
57,2022-04-09T00:50:46Z
58,2022-04-09T00:51:07Z
59,2022-04-09T00:51:28Z
59,2022-04-09T00:51:49Z
59,2022-04-09T00:52:10Z
60,2022-04-09T00:52:31Z
61,2022-04-09T00:52:52Z
61,2022-04-09T00:53:13Z
61,2022-04-09T00:53:34Z
62,2022-04-09T00:53:55Z
63,2022-04-09T00:54:16Z
63,2022-04-09T00:54:37Z
63,2022-04-09T00:54:58Z
64,2022-04-09T00:55:19Z
65,2022-04-09T00:55:41Z
66,2022-04-09T00:56:02Z
66,2022-04-09T00:56:23Z
66,2022-04-09T00:56:44Z
67,2022-04-09T00:57:05Z
68,2022-04-09T00:57:26Z
68,2022-04-09T00:57:47Z
68,2022-04-09T00:58:08Z
68,2022-04-09T00:58:29Z
69,2022-04-09T00:58:50Z
70,2022-04-09T00:59:11Z
71,2022-04-09T00:59:32Z
71,2022-04-09T00:59:53Z
71,2022-04-09T01:00:14Z
72,2022-04-09T01:00:35Z
73,2022-04-09T01:00:56Z
74,2022-04-09T01:01:17Z
74,2022-04-09T01:01:38Z
74,2022-04-09T01:01:59Z
74,2022-04-09T01:02:21Z
75,2022-04-09T01:02:42Z
76,2022-04-09T01:03:03Z
76,2022-04-09T01:03:24Z
77,2022-04-09T01:03:45Z
77,2022-04-09T01:04:06Z
78,2022-04-09T01:04:27Z
79,2022-04-09T01:04:48Z
79,2022-04-09T01:05:09Z
79,2022-04-09T01:05:30Z
79,2022-04-09T01:05:51Z
80,2022-04-09T01:06:12Z
81,2022-04-09T01:06:33Z
82,2022-04-09T01:06:54Z
82,2022-04-09T01:07:15Z
82,2022-04-09T01:07:36Z
83,2022-04-09T01:07:57Z
84,2022-04-09T01:08:18Z
84,2022-04-09T01:08:39Z
85,2022-04-09T01:09:01Z
85,2022-04-09T01:09:22Z
85,2022-04-09T01:09:43Z
86,2022-04-09T01:10:04Z
87,2022-04-09T01:10:25Z
88,2022-04-09T01:10:46Z
88,2022-04-09T01:11:07Z
88,2022-04-09T01:11:28Z
88,2022-04-09T01:11:49Z
89,2022-04-09T01:12:10Z
90,2022-04-09T01:12:44Z
91,2022-04-09T01:13:19Z
92,2022-04-09T01:13:53Z
93,2022-04-09T01:14:27Z
